mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-754712,NClO3,20,N1 Cl1 O3,4.01463275,6.64170152,11.89242409,90,90,90,ortho,P2_12_12_1,0,-5.527737813,-0.521598329,0,TRUE,2.041411573,3.0976,FALSE,317.099506,,
mp-985586,Na3BrO,5,Na3 Br1 O1,4.53313,4.53313,4.53313,90,90,90,cubic,Pm-3m,0.0681367,-3.737887096,-1.615873121,0,TRUE,2.93902545,1.8815,TRUE,93.15250142,"{'voigt': 31.663, 'reuss': 31.663, 'vrh': 31.663}","{'voigt': 21.94, 'reuss': 21.835, 'vrh': 21.887}"
mp-28602,Na3ClO,5,Na3 Cl1 O1,4.45871654,4.45871654,4.45871654,90,90,90,cubic,Pm-3m,0.0692935,-3.861942746,-1.697610746,0,TRUE,2.255923093,2.0299,TRUE,88.63996782,"{'voigt': 32.992, 'reuss': 32.992, 'vrh': 32.992}","{'voigt': 22.79, 'reuss': 22.081, 'vrh': 22.436}"
mp-769398,Na3IO,30,Na3 I1 O1,6.691748164,6.691748684,16.30793171,90.00000029,89.99999627,120.0014415,hex_,P6_3/mmc,0,-3.551543313,-1.452116121,0.004069657,FALSE,3.337904527,1.6831,TRUE,632.4153722,,
mp-1186101,NaAgO3,5,Na1 Ag1 O3,4.112418,4.112418,4.112418,90,90,90,cubic,Pm-3m,1.6668462,-4.212660156,-0.406951862,0.395609303,FALSE,4.270328335,0,FALSE,69.5491384,,
mp-1186097,NaAlO3,5,Na1 Al1 O3,3.75438,3.75438,3.75438,90,90,90,cubic,Pm-3m,1.9995753,-6.112593596,-2.126357671,0.216979795,FALSE,3.074152027,0,FALSE,52.91937216,,
mp-17868,NaAsO3,30,Na1 As1 O3,7.289213347,7.446254343,7.953300064,103.5388353,91.3965612,90.2517925,tri,P-1,0,-6.056050934,-1.884905668,0,TRUE,3.465053659,2.8628,FALSE,419.5407583,,
mp-976133,NaAsO3,5,Na1 As1 O3,3.719232,3.719232,3.719232,90,90,90,cubic,Pm-3m,0.0454476,-5.751620022,-1.580474757,0.304430912,FALSE,4.709481155,0,FALSE,51.44697091,"{'voigt': 126.053, 'reuss': 126.053, 'vrh': 126.053}","{'voigt': 122.057, 'reuss': 121.913, 'vrh': 121.985}"
mp-28614,NaBPt3,10,Na1 B1 Pt3,5.5548291,5.554828426,5.53961418,90,90,119.9999979,hex_,P6/mmm,1.00E-07,-33.59008308,-0.515345987,0,TRUE,13.88849714,0,FALSE,148.0306037,,
mp-23729,NaBeH3,5,Na1 Be1 H3,3.342892,3.342892,3.342892,90,90,90,cubic,Pm-3m,0.0003024,-3.200501326,-0.147174734,0.126078057,FALSE,1.556932438,0.9148,FALSE,37.35657381,,
